Platz,Titel,Interpret,Vorw.,Diff.
40,Anthem,Glockenbach feat. Norma Jean Martini,,
39,Guilty,Teddy Swims,,
38,Human Being,Nico Santos,,
37,Too Sweet,Hozier,,
36,Born Again ,Lisa x Doja Cat x Raye,,
35,The Emptiness Machine,Linkin Park,,
34,Rebellion,R3hab x  Michael Patrick Kelly x  Shaggy,,
33,Left In Your Love,Loi,,
32,Castaways,Milow feat. Florence Arman,,
31,Love Is The Only Thing,Lost Frequencies,,
30,Azizam,Ed Sheeran,,
29,Austin (Boots Stop Workin'),Dasha,,
28,Beautiful People,David Guetta & Sia,,
27,Walk With Me,Felix Jaehn x Shouse,,
26,That's So True,Gracie Abrams,,
25,Rock N Roll,Leony x G-Eazy,,
24,Control Of Me,Topic x  Daecolm,,
23,Ordinary,Alex Warren,,
22,All My Life,Purple Disco Machine x The Magician,,
21,Flowers ,Alle Farben x  Graham Candy x  Lahos,,
20,Sorry I'm Here For Someone Else,Benson Boone,,
19,Wave,Fast Boy x Raf,,
18,Dancing In The Flames,The Weeknd,,
17,Broken Sunshine,Michael Schulte,,
16,Abracadabra,Lady Gaga,,
15,Bad Dreams,Teddy Swims,,
14,Better Days,Glockenbach feat. Declan J Donovan,,
13,A Bar Song (Tipsy),Shaboozey,,
12,Someday Soon,ClockClock,,
11,Traitor,Zoe Wees,,
10,Touch Me,ÁSDÍS,,
9,Slow Motion,Marshmello x  Jonas Brothers,,
8,Thee Unknown,Ray Dalton,,
7,Forever Young,David Guetta x  Alphaville & Ava Max,,
6,Messy,Lola Young,,
5,Chasing Paradise,Kygo x OneRepublic,,
4,Ray Of Light,Nico Santos,,
3,Million Good Reasons,Robin Schulz x Fast Boy,,
2,Nice To Meet You,Myles Smith,,
1,By Your Side (In My Mind),Leony,,
